match id,dataset_type,win_pred_team_id,win_pred_score,indep_feat_id1,indep_feat_id2,indep_feat_id3,indep_feat_id4,indep_feat_id5,indep_feat_id6,indep_feat_id7,indep_feat_id8,indep_feat_id9,indep_feat_id10,train_algorithm,is_ensemble,train_hps_trees,train_hps_depth,train_hps_lr,indep_feat_id11,indep_feat_id12,indep_feat_id13,indep_feat_id14,indep_feat_id15
9250275,r1,90,0.9494537711143494,team1_id,team2_id,toss winner,toss decision,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,XGBoost,no,250,5,0.135,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,ratio_batting_average,ratio_average_strike_rate
9262189,r1,36084,0.7731804251670837,team1_id,team2_id,toss winner,toss decision,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,XGBoost,no,250,5,0.135,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,ratio_batting_average,ratio_average_strike_rate
9128776,r1,48334,0.7148610353469849,team1_id,team2_id,toss winner,toss decision,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,XGBoost,no,250,5,0.135,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,ratio_batting_average,ratio_average_strike_rate
9586919,r1,36112,0.9690448045730591,team1_id,team2_id,toss winner,toss decision,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,XGBoost,no,250,5,0.135,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,ratio_batting_average,ratio_average_strike_rate
9128538,r1,30414,0.6496413350105286,team1_id,team2_id,toss winner,toss decision,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,XGBoost,no,250,5,0.135,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,ratio_batting_average,ratio_average_strike_rate
9516653,r1,30435,0.627189040184021,team1_id,team2_id,toss winner,toss decision,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,XGBoost,no,250,5,0.135,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,ratio_batting_average,ratio_average_strike_rate
9516534,r1,30414,0.7675684094429016,team1_id,team2_id,toss winner,toss decision,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,XGBoost,no,250,5,0.135,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,ratio_batting_average,ratio_average_strike_rate
9085474,r1,6698,0.6294935941696167,team1_id,team2_id,toss winner,toss decision,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,XGBoost,no,250,5,0.135,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,ratio_batting_average,ratio_average_strike_rate
9433752,r1,7727,0.9040357694029808,team1_id,team2_id,toss winner,toss decision,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,XGBoost,no,250,5,0.135,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,ratio_batting_average,ratio_average_strike_rate
9516359,r1,30428,0.6086601912975311,team1_id,team2_id,toss winner,toss decision,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,XGBoost,no,250,5,0.135,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,ratio_batting_average,ratio_average_strike_rate
