match id,team1,team1_id,team1_roster_ids,team2,team2_id,team2_roster_ids,winner_id,toss winner,toss decision,venue,city,match_dt,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,ratio_batting_average,ratio_average_strike_rate,ratio_average_fours_per_ball,ratio_average_sixes_per_ball,ratio_average_economy,ratio_bowling_average,ratio_bowling_strike_rate,ratio_average_wides_per_ball,ratio_average_noballs_per_ball,ratio_team_strike_rate,ratio_team_wicket_rate
9250275,Jy,28594,7438955.0:8271969.0:8369661.0:3685247.0:2590251.0:7785497.0:7785553.0:3296264.0:4613622.0:2904796.0:3685289.0,Ud Ss of Aa,90,2436944.0:8117500.0:6703528.0:3010748.0:1613870.0:8934764.0:2721480.0:1632819.0:2789604.0:6489846.0:1565507.0,90,Ud Ss of Aa,field,Bo Ac Cb,Bulawayo,11-07-2022,day match,Ud Ss of Aa tr of Ze,2022,3226,0,0.019607843,,0,,0.127050552,0.232562118,0.289045965,0.284585219,0,0,0,0,,0,0
9262189,Ga An Ws,36084,3715690.0:6818622.0:4069666.0:393014.0:4690188.0:4739552.0:4690328.0:5744850.0:4739580.0:9266102.0:284339.0,Ja Ts,36098,4690258.0:3761246.0:8464385.0:5742470.0:3150720.0:4690104.0:181404.0:1594319.0:5509524.0:4239794.0:2036649.0,36084,Ja Ts,field,Pe Sm Ga,Providence,21-09-2022,night match,Cn Pr Le,2022,13915,0.615384615,0.344262295,151.2857143,66.67,153.5,1.007605961,1.027331915,1.029821453,1.192025881,0.955819237,0.794511783,0.871095511,0.651128734,1.692674121,0.934588054,1.004502197
9128776,Rn Rs,30428,8058959.0:2162782.0:2981614.0:7833195.0:7556051.0:2486896.0:184960.0:1945397.0:6420126.0:3011735.0:6347494.0,Lw Sr Gs,48334,2654014.0:2954769.0:8058903.0:3479860.0:3299407.0:2275097.0:2740408.0:3865077.0:7924048.0:4859490.0:8228100.0,30428,Rn Rs,bat,Be Sm Mi,Mumbai,15-05-2022,night match,In Pr Le,2022,2764,0.842105263,0.75308642,171.0666667,100,179.625,1.052231543,0.941038803,1.016857019,0.96463201,1.146413279,0.759309881,0.759565117,1.101971848,1.046679588,0.896075394,1.38484379
9586919,Ja Ts,36098,4690258.0:8464385.0:1613898.0:5744780.0:3150720.0:4690104.0:1594319.0:5509524.0:2036649.0:3023383.0:5471948.0,St La Ks,36112,2331475.0:313809.0:391103.0:2742837.0:2097017.0:7921535.0:7459647.0:8464343.0:4690230.0:8339701.0:4702774.0,36098,St La Ks,field,Dn Sy Nl Ct Sm Gs It St La,Gros Islet,16-08-2023,night match,Cn Pr Le,2023,11892,0.285714286,1.487804878,166,75,155.5,0.746466721,0.860084916,0.795119245,0.666686348,1.101005962,0.8636323,0.806173204,1.108700766,0.091523332,0.97548783,1.053855429
9128538,Ci Sr Ks,30414,7422673.0:249087.0:62432.0:232000.0:5001170.0:1642738.0:196580.0:360086.0:2022957.0:7968225.0:7879829.0,Gt Ts,48341,1958683.0:7491224.0:3339160.0:5452754.0:2252452.0:2966879.0:5554254.0:4690230.0:3456424.0:3373285.0:8118053.0,48341,Gt Ts,field,Ma Ct An Sm Pe,Pune,17-04-2022,night match,In Pr Le,2022,18752,2.375,0.31032954,169.9333333,0,164.125,1.117726289,1.12621722,1.423600927,1.171043923,1.034881658,1.124815784,1.120288851,0.893598157,0.393653531,0.953209048,1.097688993
9516653,Pb Ks,30407,8127181.0:197658.0:4239038.0:2827327.0:5053082.0:4640824.0:5038046.0:8180500.0:2035102.0:7453697.0:7881845.0:5788418.0,Mi Is,30435,238727.0:5043310.0:7537004.0:3125562.0:6249256.0:8191868.0:8058924.0:230775.0:4688998.0:8118914.0:8713270.0:8442286.0,30435,Mi Is,field,Pb Ct An IS Ba Sm Mi Ch,Chandigarh,03-05-2023,night match,In Pr Le,2023,7118,0.4,0.672131148,177.0666667,50,184.5,0.994719036,0.93718891,0.727853745,0.88981479,0.993793975,1.002366679,0.994590742,1.426486906,1.574310281,1.001666276,1.030415891
9516534,Ss Hd,36014,6381962.0:7491294.0:3127354.0:4203499.0:3057312.0:2789079.0:4874820.0:5038018.0:2282125.0:7570107.0:8725709.0:6596582.0,Ci Sr Ks,30414,7422673.0:2653993.0:1945425.0:232000.0:62432.0:5001170.0:1642738.0:196580.0:5757884.0:7968225.0:8363578.0:8228219.0,30414,Ci Sr Ks,field,MA Cm Sm Ck Ci,Chennai,21-04-2023,night match,In Pr Le,2023,2050,0.681818182,0.344262295,183.4666667,25,156.35,0.861191516,0.986154457,0.947947502,1.016271575,1.009876031,0.784083268,0.790510107,0.657806681,0.692326573,0.906622504,1.165352088
9085474,St,9701,7694581.0:6139370.0:2231928.0:3239102.0:2535420.0:6320362.0:5288226.0:334963.0:3252395.0:2850868.0:55299.0,De,6698,7295028.0:2433640.0:325814.0:4170186.0:3901078.0:6718788.0:2872225.0:3991700.0:4613580.0:8056705.0:6005866.0,9701,De,field,Te Cr As Cy Gd Tn,Taunton,09-07-2022,night match,Vy Bt,2022,1042,3.2,0.603960396,163.0666667,0,177.3214286,1.060125072,1.082866285,1.085418336,1.215199163,1.1454078,1.58299987,1.494218285,1.633116281,0.517626423,1.01691413,1.036698413
9433752,He,7727,2076192.0:4223883.0:8271913.0:5241564.0:1482998.0:2020332.0:3162487.0:1482249.0:2173688.0:5788418.0:8833075.0,Gn,7573,5164844.0:319948.0:2707431.0:1722048.0:7734271.0:5161652.0:8110185.0:5192830.0:7664957.0:3212292.0:8339701.0,7727,Gn,field,Te Re Bl Sn,Southampton,30-06-2023,day/night match,Vy Bt,2023,8301,2.428571429,2.904761905,167,100,151.6,1.385312362,1.170898979,0.900093659,1.404193609,0.841257179,1.001667769,1.145168227,1.016864529,5.350633978,1.008123764,0.843103927
9516359,Rn Rs,30428,8058959.0:2162782.0:2981614.0:7833195.0:7556051.0:4690188.0:184960.0:2740408.0:1945397.0:7581223.0:3011735.0:4901182.0,Ss Hd,36014,7491294.0:2789079.0:3127354.0:6381962.0:5038018.0:5764576.0:8228408.0:1711492.0:2282125.0:8725709.0:5618038.0:6819238.0,30428,Ss Hd,field,Rv Gi Il Sm Ul Hd,Hyderabad,02-04-2023,day/night match,In Pr Le,2023,13880,1.727272727,21,171.0666667,66.67,186.5,1.237773934,0.994309375,0.970218316,1.27417067,0.845084272,0.757202138,0.765496703,0.876776975,0.885498579,1.072662922,1.006232799
